# Processed xy data with Haverford two-theta converted to LBL scale
two_theta,intensity
5.812336334448366,5.0
5.835590900706661,6.0
5.8588455295808854,5.0
5.882100221322295,5.0
5.905354976182176,6.0
5.928609794411824,6.0
5.951864676262572,6.0
5.97511962198576,7.0
5.99837463183276,7.0
6.02162970605496,8.0
6.044884844903773,11.0
6.0681400486306325,9.0
6.091395317486996,7.0
6.114650651724341,3.0
6.13790605159417,3.0
6.161161517348003,5.0
6.18441704923739,5.0
6.207672647513895,8.0
6.230928312429112,8.0
6.254184044234656,5.0
6.27743984318216,6.0
6.300695709523287,7.0
6.3239516435097185,9.0
6.347207645393159,8.0
6.370463715425341,6.0
6.3937198538580144,4.0
6.416976060942956,5.0
6.440232336931965,6.0
6.4634886820768624,6.0
6.486745096629497,6.0
6.510001580841738,5.0
6.53325813496548,4.0
6.5565147592526385,4.0
6.579771453955157,5.0
6.603028219325004,5.0
6.626285055614165,5.0
6.649541963074657,3.0
6.6727989419585185,4.0
6.696055992517813,4.0
6.719313115004629,5.0
6.742570309671076,6.0
6.7658275767692935,6.0
6.789084916551441,6.0
6.812342329269707,4.0
6.835599815176301,4.0
6.858857374523463,8.0
6.882115007563452,7.0
6.905372714548557,3.0
6.9286304957310865,3.0
6.951888351363382,4.0
6.975146281697805,8.0
6.998404286986744,9.0
7.021662367482616,4.0
7.044920523437857,5.0
7.068178755104935,6.0
7.091437062736341,4.0
7.1146954465845935,1.0
7.137953906902237,3.0
7.161212443941841,5.0
7.184471057955999,7.0
7.207729749197341,7.0
7.230988517918511,5.0
7.254247364372185,5.0
7.277506288811065,1.0
7.30076529148788,1.0
7.324024372655387,4.0
7.347283532566368,5.0
7.370542771473634,5.0
7.393802089630019,8.0
7.417061487288388,7.0
7.440320964701634,5.0
7.4635805221226725,8.0
7.486840159804451,5.0
7.510099877999942,5.0
7.533359676962151,4.0
7.5566195569440975,4.0
7.579879518198843,4.0
7.603139560979473,5.0
7.626399685539099,5.0
7.649659892130859,4.0
7.672920181007921,4.0
7.696180552423485,4.0
7.719441006630773,2.0
7.742701543883038,4.0
7.765962164433562,4.0
7.789222868535657,2.0
7.81248365644266,2.0
7.835744528407938,4.0
7.859005484684887,6.0
7.882266525526933,7.0
7.905527651187532,4.0
7.928788861920164,5.0
7.952050157978344,7.0
7.975311539615614,8.0
7.998573007085543,6.0
8.02183456064173,8.0
8.045096200537811,7.0
8.06835792702744,7.0
8.09161974036431,5.0
8.114881640802139,4.0
8.138143628594674,6.0
8.161405703995696,5.0
8.184667867259016,6.0
8.207930118638469,10.0
8.231192458387925,6.0
8.254454886761287,6.0
8.277717404012483,9.0
8.300980010395474,4.0
8.32424270616425,8.0
8.347505491572837,9.0
8.370768366875284,6.0
8.394031332325673,5.0
8.417294388178124,8.0
8.440557534686778,6.0
8.463820772105814,5.0
8.487084100689438,5.0
8.510347520691889,7.0
8.53361103236744,5.0
8.556874635970393,4.0
8.58013833175508,7.0
8.603402119975868,4.0
8.62666600088715,4.0
8.649929974743358,5.0
8.673194041798952,5.0
8.696458202308426,5.0
8.719722456526304,3.0
8.742986804707142,7.0
8.766251247105531,4.0
8.789515783976091,2.0
8.812780415573481,4.0
8.836045142152381,8.0
8.859309963967515,8.0
8.882574881273634,6.0
8.90583989432552,6.0
8.929105003377993,6.0
8.952370208685906,3.0
8.975635510504143,3.0
8.998900909087617,6.0
9.022166404691278,5.0
9.045431997570116,8.0
9.068697687979142,10.0
9.091963476173413,4.0
9.115229362408005,5.0
9.138495346938043,5.0
9.161761430018675,5.0
9.185027611905088,6.0
9.2082938928525,7.0
9.23156027311617,6.0
9.254826752951379,6.0
9.278093332613453,3.0
